"Month","Type of tourist","Average Length of Stay"
"2015--01","Inbound",10.140232868343045
"2015--01","Domestic",4.789987084079711
"2015--02","Inbound",10.927614113684806
"2015--02","Domestic",4.8396195184099335
"2015--03","Inbound",9.577300555992306
"2015--03","Domestic",4.774787562319474
"2015--04","Inbound",10.695147362394748
"2015--04","Domestic",4.519817952885035
"2015--05","Inbound",8.951996188651876
"2015--05","Domestic",4.619156232608337
"2015--06","Inbound",10.231618156165863
"2015--06","Domestic",6.188998196220181
"2015--07","Inbound",8.907113856849989
"2015--07","Domestic",5.789632944462465
"2015--08","Inbound",8.127803036683023
"2015--08","Domestic",6.1877405422305145
"2015--09","Inbound",17.08829370672934
"2015--09","Domestic",5.877167951842778
"2015--10","Inbound",9.701421803563584
"2015--10","Domestic",5.172747030645304
"2015--11","Inbound",9.10271375984174
"2015--11","Domestic",4.370219796174011
"2015--12","Inbound",10.928081284922479
"2015--12","Domestic",4.646304323825432
"2016--01","Inbound",9.496193171012512
"2016--01","Domestic",4.691699815759815
"2016--02","Inbound",9.32785020423459
"2016--02","Domestic",4.5572098999007515
"2016--03","Inbound",10.217450685856008
"2016--03","Domestic",4.850786760329123
"2016--04","Inbound",10.622146972451986
"2016--04","Domestic",5.140595931834656
"2016--05","Inbound",9.620758420457978
"2016--05","Domestic",5.50964139252061
"2016--06","Inbound",8.53941992321812
"2016--06","Domestic",5.803073189043677
"2016--07","Inbound",7.302720466706995
"2016--07","Domestic",6.411891964828169
"2016--08","Inbound",12.319726834291899
"2016--08","Domestic",5.849480987916389
"2016--09","Inbound",19.422077536189807
"2016--09","Domestic",5.2119506728839795
"2016--10","Inbound",6.167915969702559
"2016--10","Domestic",4.932365827198517
"2016--11","Inbound",7.32891079807527
"2016--11","Domestic",5.095040197581173
"2016--12","Inbound",8.37829113260469
"2016--12","Domestic",4.675127929236913
"2017--01","Inbound",8.463087259185029
"2017--01","Domestic",5.096665538213337
"2017--02","Inbound",9.768187935025649
"2017--02","Domestic",4.747168160337023
"2017--03","Inbound",10.559912418242037
"2017--03","Domestic",4.815697630289229
"2017--04","Inbound",9.125283374388411
"2017--04","Domestic",4.9570115861886315
"2017--05","Inbound",9.564387686088216
"2017--05","Domestic",4.556865197680981
"2017--06","Inbound",8.967968387855727
"2017--06","Domestic",5.2408267344522175
"2017--07","Inbound",4.713079017434332
"2017--07","Domestic",6.310303069819021
"2017--08","Inbound",6.070437317352086
"2017--08","Domestic",6.422311653548501
"2017--09","Inbound",20.94648115134206
"2017--09","Domestic",5.344693086238222
"2017--10","Inbound",8.283421002223953
"2017--10","Domestic",4.72965260673144
"2017--11","Inbound",9.646385155257725
"2017--11","Domestic",4.2521400866948555
"2017--12","Inbound",8.389286321441435
"2017--12","Domestic",4.631903846741988
"2018--01","Inbound",8.09338589381416
"2018--01","Domestic",5.1497588716123595
"2018--02","Inbound",8.177135946624288
"2018--02","Domestic",4.736299909208436
"2018--03","Inbound",11.389997808351007
"2018--03","Domestic",4.815695631200941
"2018--04","Inbound",9.309757316589206
"2018--04","Domestic",4.936741195552875
"2018--05","Inbound",10.057201468870247
"2018--05","Domestic",4.52654301215769
"2018--06","Inbound",8.696426145501343
"2018--06","Domestic",5.3826462862849604
"2018--07","Inbound",5.199292404587137
"2018--07","Domestic",6.704812812057991
"2018--08","Inbound",20.28232068785503
"2018--08","Domestic",6.519560721206474
"2018--09","Inbound",5.338961804371066
"2018--09","Domestic",6.123974213235512
"2018--10","Inbound",9.802081657330588
"2018--10","Domestic",5.544662484673853
"2018--11","Inbound",12.89099075108907
"2018--11","Domestic",4.845864041675368
"2018--12","Inbound",12.00602869297005
"2018--12","Domestic",4.770280833504362
"2019--01","Inbound",8.672637112244226
"2019--01","Domestic",4.599305192105299
"2019--02","Inbound",8.971409967202424
"2019--02","Domestic",4.231469778339385
"2019--03","Inbound",10.434616673956214
"2019--03","Domestic",4.356865426162286
"2019--04","Inbound",9.231305593775572
"2019--04","Domestic",4.620912316876312
"2019--05","Inbound",9.50103875274721
"2019--05","Domestic",5.273587734220036
"2019--06","Inbound",7.635618658988219
"2019--06","Domestic",4.720088111716705
"2019--07","Inbound",6.476900103376186
"2019--07","Domestic",6.094718084288769
"2019--08","Inbound",19.570878217839
"2019--08","Domestic",6.870480775762835
"2019--09","Inbound",6.460732183594318
"2019--09","Domestic",6.330419396162999
"2019--10","Inbound",9.903537673636615
"2019--10","Domestic",6.000975670625739
"2019--11","Inbound",10.733184076940006
"2019--11","Domestic",7.347208654997101
"2019--12","Inbound",9.856530922385026
"2019--12","Domestic",6.9547278829477035
"2020--01","Inbound",9.333397583745544
"2020--01","Domestic",4.65661117197293
"2020--02","Inbound",10.47122976342773
"2020--02","Domestic",4.259385833879974
"2020--03","Inbound",6.761276045354879
"2020--03","Domestic",4.202755948909919
"2020--04","Inbound",2.610960869526947
"2020--04","Domestic",5.7157593515445795
"2020--05","Inbound",2.6245878373287064
"2020--05","Domestic",3.10490067899692
"2020--06","Inbound",2.8144799211287475
"2020--06","Domestic",6.589257055324289
"2020--07","Inbound",3.408583107626273
"2020--07","Domestic",7.58257428004317
"2020--08","Inbound",3.4653830809081625
"2020--08","Domestic",6.852436905179181
"2020--09","Inbound",3.5133765731405657
"2020--09","Domestic",5.342052240086958
"2020--10","Inbound",7.464823902011178
"2020--10","Domestic",4.621011202637834
"2020--11","Inbound",8.352866300520127
"2020--11","Domestic",4.824283989380334
"2020--12","Inbound",10.027217155644893
"2020--12","Domestic",5.936360669778251
"2021--01","Inbound",10.062300623206893
"2021--01","Domestic",5.161305087590558
"2021--02","Inbound",10.003604181934952
"2021--02","Domestic",4.980450065499018
"2021--03","Inbound",7.662279294459178
"2021--03","Domestic",5.096618370448536
"2021--04","Inbound",7.918431404766473
"2021--04","Domestic",5.1591488769540295
"2021--05","Inbound",6.416545105967541
"2021--05","Domestic",6.6929245529622605
"2021--06","Inbound",6.693620150225219
"2021--06","Domestic",6.258277707952241
"2021--07","Inbound",7.4431639830290335
"2021--07","Domestic",7.948592761542192
"2021--08","Inbound",7.372889074333377
"2021--08","Domestic",5.487252318875077
"2021--09","Inbound",7.706787461696411
"2021--09","Domestic",4.5393441619394626
"2021--10","Inbound",11.093036923865368
"2021--10","Domestic",4.279925059712249
"2021--11","Inbound",9.945000880896016
"2021--11","Domestic",4.6887979767136905
"2021--12","Inbound",10.645040750789086
"2021--12","Domestic",4.677393850976229
"2022--01","Inbound",19.33746183577934
"2022--01","Domestic",4.475915944220257
"2022--02","Inbound",19.166509262572934
"2022--02","Domestic",4.429079208657882
"2022--03","Inbound",16.609417621370287
"2022--03","Domestic",4.545618857187941
"2022--04","Inbound",18.230196672548544
"2022--04","Domestic",5.010838153068574
"2022--05","Inbound",14.981627955963416
"2022--05","Domestic",4.356695520439664
"2022--06","Inbound",13.901267058088573
"2022--06","Domestic",4.522229646730029
"2022--07","Inbound",10.72670174796787
"2022--07","Domestic",6.609264219452729
"2022--08","Inbound",17.02656404761777
"2022--08","Domestic",4.915957656253878
"2022--09","Inbound",19.708719650222218
"2022--09","Domestic",4.030915342695778
"2022--10","Inbound",17.391590502567016
"2022--10","Domestic",3.9863213405193916
"2022--11","Inbound",16.123353913586442
"2022--11","Domestic",4.170472751375457
"2022--12","Inbound",15.459104097336315
"2022--12","Domestic",3.952990264236494
"2023--01","Inbound",14.115147092775645
"2023--01","Domestic",5.4834690614297275
"2023--02","Inbound",14.507916639010789
"2023--02","Domestic",5.234978833330332
"2023--03","Inbound",19.78996127263293
"2023--03","Domestic",5.437077178708108
"2023--04","Inbound",17.6489729764069
"2023--04","Domestic",5.5395829506534815
"2023--05","Inbound",21.08240821447438
"2023--05","Domestic",5.427105705367049
"2023--06","Inbound",20.873196967861226
"2023--06","Domestic",8.15288630122352
"2023--07","Inbound",12.09591856390348
"2023--07","Domestic",7.085032056146049
"2023--08","Inbound",12.672622702186056
"2023--08","Domestic",5.437990234109959
"2023--09","Inbound",13.795785418825659
"2023--09","Domestic",5.679060006154275
"2023--10","Inbound",13.784968683807088
"2023--10","Domestic",6.359776066471257
"2023--11","Inbound",15.496072057126565
"2023--11","Domestic",5.981290160354935
"2023--12","Inbound",11.929419603009382
"2023--12","Domestic",5.304235645130719
"2024--01","Inbound",14.62
"2024--01","Domestic",5.31
"2024--02","Inbound",16.33
"2024--02","Domestic",5.24
"2024--03","Inbound",21.02
"2024--03","Domestic",6.58
"2024--04","Inbound",17.27
"2024--04","Domestic",5.75
"2024--05","Inbound",27.81
"2024--05","Domestic",5.57
"2024--06","Inbound",27.11
"2024--06","Domestic",10.54
"2024--07","Inbound",20.34
"2024--07","Domestic",6.33
"2024--08","Inbound",17
"2024--08","Domestic",5.57
"2024--09","Inbound",18.8
"2024--09","Domestic",5.66
"2024--10","Inbound",17.83
"2024--10","Domestic",5.34
"2024--11","Inbound",16.97
"2024--11","Domestic",5.63
"2024--12","Inbound",15.51
"2024--12","Domestic",5.79
"2025--01","Inbound",15.61
"2025--01","Domestic",5.51
"2025--02","Inbound",20.59
"2025--02","Domestic",5.52
"2025--03","Inbound",18.14
"2025--03","Domestic",6.78
"2025--04","Inbound",14.29
"2025--04","Domestic",5.72
"2025--05","Inbound",20.34
"2025--05","Domestic",6.35
"2025--06","Inbound",23.47
"2025--06","Domestic",7.64
"2025--07","Inbound",20.16
"2025--07","Domestic",7.36
"2025--08","Inbound",19.42
"2025--08","Domestic",5.7
"2025--09","Inbound",20.68
"2025--09","Domestic",5.41
"2025--10","Inbound",18.95
"2025--10","Domestic",5.12
"2025--11","Inbound",17.94
"2025--11","Domestic",5.68
"2025--12","Inbound",16.9
"2025--12","Domestic",5.3
